isbn,ncid,title,creators
310232,"http://ci.nii.ac.jp/ncid/BA59080219","破戒","島崎藤村作"
310232,"http://ci.nii.ac.jp/ncid/BN01976208","破戒","島崎藤村作"
310236,"http://ci.nii.ac.jp/ncid/BA55585621","千曲川のスケッチ","島崎藤村著"
310236,"http://ci.nii.ac.jp/ncid/BN05056799","千曲川のスケッチ","島崎藤村著"
310242,"http://ci.nii.ac.jp/ncid/BA62854064","夜明け前","島崎藤村作"
310242,"http://ci.nii.ac.jp/ncid/BN0103350X","夜明け前","島崎藤村作"
310251,"http://ci.nii.ac.jp/ncid/BA41247482","にごりえ ; たけくらべ","樋口一葉作"
310251,"http://ci.nii.ac.jp/ncid/BN01031810","にごりえ ; たけくらべ","樋口一葉作"
310292,"http://ci.nii.ac.jp/ncid/BA56070183","別れた妻に送る手紙 : 他二篇","近松秋江作"
310292,"http://ci.nii.ac.jp/ncid/BN00955858","別れた妻に送る手紙 : 他二篇","近松秋江作"
310292,"http://ci.nii.ac.jp/ncid/BN09077553","別れたる妻に送る手紙 : 他二篇","近松秋江作"
310341,"http://ci.nii.ac.jp/ncid/BB02119479","上田敏全訳詩集","[上田敏訳] ; 山内義雄, 矢野峰人編"
310341,"http://ci.nii.ac.jp/ncid/BN01036417","上田敏全訳詩集","[上田敏訳] ; 山内義雄, 矢野峰人編"
310366,"http://ci.nii.ac.jp/ncid/BA68275933","小さき者へ ; 生れ出ずる悩み","有島武郎作"
310366,"http://ci.nii.ac.jp/ncid/BN03940700","小さき者へ ; 生れ出づる悩み","有島武郎作"
310415,"http://ci.nii.ac.jp/ncid/BN01002222","濹東綺譚","永井荷風著"
310415,"http://ci.nii.ac.jp/ncid/BN0651331X","濹東綺譚","永井荷風作"
310416,"http://ci.nii.ac.jp/ncid/BN00978638","珊瑚集","永井荷風譯著"
310416,"http://ci.nii.ac.jp/ncid/BN06906389","珊瑚集 : 仏蘭西近代抒情詩選","永井荷風訳"
310426,"http://ci.nii.ac.jp/ncid/BA59530450","あめりか物語","永井荷風作"
310426,"http://ci.nii.ac.jp/ncid/BN00955949","あめりか物語","永井荷風作"
310441,"http://ci.nii.ac.jp/ncid/BA40084065","赤光","斎藤茂吉作"
310441,"http://ci.nii.ac.jp/ncid/BN00989816","赤光","齋藤茂吉著"
310451,"http://ci.nii.ac.jp/ncid/BA30902950","桑の実","鈴木三重吉作"
310451,"http://ci.nii.ac.jp/ncid/BN04160638","桑の實","鈴木三重吉作"
310462,"http://ci.nii.ac.jp/ncid/BA5906682X","小僧の神様 : 他十篇","志賀直哉作"
310462,"http://ci.nii.ac.jp/ncid/BN01976853","小僧の神様 : 他十編","志賀直哉作"
310464,"http://ci.nii.ac.jp/ncid/BA67009231","暗夜行路","志賀直哉作"
310464,"http://ci.nii.ac.jp/ncid/BN00978208","暗夜行路","志賀直哉作"
